timestamp,fps,handedness,gesture,thumb_raw,index_raw,middle_raw,ring_raw,pinky_raw,thumb_smooth,index_smooth,middle_smooth,ring_smooth,pinky_smooth,thumb_target,index_target,middle_target,ring_target,pinky_target
1789774889.2744064,36.5,Sol,OPEN_HAND,0.38,0.013,0.0,0.0,0.0,0.38,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.3007371,34.6,Sol,OPEN_HAND,0.379,0.014,0.0,0.0,0.0,0.379,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.3436382,27.6,Sol,OPEN_HAND,0.38,0.012,0.0,0.0,0.0,0.38,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.3874433,19.9,Sol,OPEN_HAND,0.38,0.013,0.0,0.0,0.0,0.38,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.4178839,39.9,Sol,OPEN_HAND,0.377,0.013,0.0,0.0,0.0,0.377,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.4567027,28.8,Sol,OPEN_HAND,0.373,0.013,0.0,0.0,0.0,0.373,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.491787,25.1,Sol,OPEN_HAND,0.371,0.015,0.0,0.0,0.0,0.371,0.015,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.5303805,25.8,Sol,OPEN_HAND,0.379,0.012,0.0,0.0,0.0,0.379,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.5653389,27.1,Sol,OPEN_HAND,0.378,0.013,0.0,0.0,0.0,0.378,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.5968246,30.0,Sol,OPEN_HAND,0.378,0.012,0.0,0.0,0.0,0.378,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.6280234,36.2,Sol,OPEN_HAND,0.376,0.012,0.0,0.0,0.0,0.376,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.6610675,32.7,Sol,OPEN_HAND,0.377,0.012,0.0,0.0,0.0,0.377,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.6944635,26.4,Sol,OPEN_HAND,0.379,0.013,0.0,0.0,0.0,0.379,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.7289858,36.9,Sol,OPEN_HAND,0.374,0.012,0.0,0.0,0.0,0.374,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.766493,25.1,Sol,OPEN_HAND,0.366,0.013,0.0,0.0,0.0,0.366,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.7957659,28.6,Sol,OPEN_HAND,0.371,0.013,0.0,0.0,0.0,0.371,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.8263614,33.9,Sol,OPEN_HAND,0.371,0.013,0.0,0.0,0.0,0.371,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.859619,33.9,Sol,OPEN_HAND,0.369,0.013,0.0,0.0,0.0,0.369,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.8826368,32.5,Sol,OPEN_HAND,0.372,0.014,0.0,0.0,0.0,0.372,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.9064174,44.0,Sol,OPEN_HAND,0.371,0.015,0.0,0.0,0.0,0.371,0.015,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.9511414,24.9,Sol,OPEN_HAND,0.374,0.014,0.0,0.0,0.0,0.374,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774889.9842834,34.7,Sol,OPEN_HAND,0.373,0.014,0.0,0.0,0.0,0.373,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.0165203,27.1,Sol,OPEN_HAND,0.373,0.015,0.0,0.0,0.0,0.373,0.015,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.05693,27.6,Sol,OPEN_HAND,0.376,0.014,0.0,0.0,0.0,0.376,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.0913455,29.9,Sol,OPEN_HAND,0.374,0.014,0.0,0.0,0.0,0.374,0.014,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.1302116,25.4,Sol,OPEN_HAND,0.375,0.013,0.0,0.0,0.0,0.375,0.013,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.173298,25.6,Sol,OPEN_HAND,0.369,0.012,0.0,0.0,0.0,0.369,0.012,0.0,0.0,0.0,0.408,0.072,0.071,0.075,0.067
1789774890.2130213,21.8,Sol,OPEN_HAND,0.366,0.029,0.0,0.0,0.002,0.366,0.029,0.0,0.0,0.002,0.408,0.072,0.071,0.075,0.067
1789774890.2379045,31.9,Sol,OPEN_HAND,0.371,0.029,0.0,0.0,0.005,0.371,0.029,0.0,0.0,0.005,0.408,0.072,0.071,0.075,0.067
1789774890.2610135,43.1,Sol,OPEN_HAND,0.61,0.552,0.554,0.565,0.562,0.61,0.552,0.554,0.565,0.562,0.459,0.192,0.192,0.197,0.191
1789774890.29357,39.0,Sol,OPEN_HAND,0.613,0.549,0.552,0.56,0.552,0.613,0.549,0.552,0.56,0.552,0.497,0.281,0.282,0.288,0.281
1789774890.3302429,28.4,Sol,OPEN_HAND,0.533,0.598,0.638,0.685,0.664,0.533,0.598,0.638,0.685,0.664,0.497,0.36,0.371,0.387,0.377
1789774890.3716376,24.4,Sol,OPEN_HAND,0.521,0.627,0.725,0.801,0.795,0.521,0.627,0.725,0.801,0.795,0.497,0.427,0.459,0.491,0.481
1789774890.4066627,27.7,Sol,OPEN_HAND,0.512,0.624,0.731,0.851,0.843,0.512,0.624,0.731,0.851,0.843,0.497,0.476,0.527,0.581,0.572
1789774890.4427679,26.3,Sol,OPEN_HAND,0.569,0.643,0.784,0.979,1.0,0.569,0.643,0.784,0.979,1.0,0.497,0.518,0.591,0.68,0.679
1789774890.4823494,28.4,Sol,OPEN_HAND,0.604,0.633,0.745,0.965,1.0,0.604,0.633,0.745,0.965,1.0,0.524,0.547,0.63,0.751,0.759
1789774890.5214057,23.7,Sol,OPEN_HAND,0.599,0.634,0.768,0.959,1.0,0.599,0.634,0.768,0.959,1.0,0.524,0.569,0.664,0.803,0.819
